INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003.0,2015.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,0.0,,5.0,,26.0,44.0,3.0,0.0,1.0,,,,,7.0,1.0,30253
3003.0,2015.0,8.0,8.0,7.0,4.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,0.0,,7.0,0.0,,31.0,5.0,0.0,1.0,,,,,5.0,1.0,02859
3003.0,2015.0,8.0,7.0,4.0,7.0,9.0,4.0,9.0,10.0,9.0,7.0,7.0,0.0,,7.0,10.0,,25.0,4.0,0.0,1.0,,,,,6.0,2.0,99501
3003.0,2015.0,7.0,7.0,5.0,9.0,8.0,6.0,8.0,8.0,5.0,6.0,6.0,0.0,,8.0,10.0,,46.0,2.0,0.0,1.0,,,,,5.0,1.0,33511
3003.0,2015.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0,,10.0,15.0,,50.0,2.0,0.0,1.0,,,,,5.0,1.0,26159
3003.0,2015.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0,8.0,10.0,7.0,8.0,0.0,,10.0,10.0,,28.0,5.0,1.0,1.0,,,,,3.0,2.0,83607
3003.0,2015.0,8.0,7.0,9.0,5.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,0.0,,9.0,26.0,,57.0,3.0,0.0,1.0,,,,,7.0,1.0,02919
3003.0,2015.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,0.0,,8.0,26.0,,44.0,3.0,0.0,1.0,,,,,5.0,2.0,43526
3003.0,2015.0,6.0,4.0,4.0,7.0,8.0,7.0,7.0,6.0,7.0,5.0,5.0,0.0,,4.0,,15.0,48.0,3.0,0.0,1.0,,,,,5.0,1.0,98498
3003.0,2015.0,7.0,5.0,5.0,7.0,7.0,8.0,8.0,6.0,9.0,7.0,6.0,0.0,,6.0,,,70.0,5.0,0.0,1.0,,,,,7.0,1.0,19355
3003.0,2015.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,5.0,,30.0,4.0,0.0,1.0,,,,,7.0,1.0,07044
3003.0,2015.0,6.0,5.0,7.0,8.0,8.0,2.0,5.0,8.0,4.0,5.0,7.0,1.0,2.0,6.0,15.0,,50.0,4.0,0.0,1.0,,,,,7.0,1.0,89074
3003.0,2015.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,0.0,,8.0,10.0,,43.0,4.0,0.0,1.0,,,,,,2.0,52722
3003.0,2015.0,9.0,7.0,8.0,7.0,7.0,5.0,8.0,7.0,5.0,8.0,8.0,1.0,8.0,8.0,5.0,,36.0,5.0,,,,,,,4.0,2.0,21224
3003.0,2015.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,0.0,,9.0,0.0,,32.0,5.0,0.0,1.0,,,,,7.0,1.0,55014
3003.0,2015.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,0.0,,8.0,26.0,,41.0,5.0,0.0,1.0,3.0,,,,7.0,2.0,55416
3003.0,2015.0,10.0,7.0,9.0,8.0,8.0,2.0,9.0,9.0,10.0,4.0,10.0,0.0,,10.0,26.0,,22.0,3.0,0.0,1.0,,,,,,2.0,01880
3003.0,2015.0,8.0,6.0,7.0,9.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,0.0,,9.0,10.0,,43.0,5.0,0.0,4.0,,,,,,1.0,92121
3003.0,2015.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,0.0,,8.0,10.0,,23.0,5.0,0.0,1.0,,,,,7.0,2.0,01833
3003.0,2015.0,8.0,7.0,6.0,8.0,5.0,5.0,6.0,8.0,7.0,6.0,5.0,0.0,,6.0,0.0,,44.0,4.0,0.0,1.0,,,,,6.0,1.0,97116
3003.0,2015.0,8.0,6.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,0.0,,10.0,26.0,,41.0,3.0,0.0,1.0,,,,,7.0,1.0,90401
3003.0,2015.0,7.0,7.0,7.0,8.0,8.0,4.0,7.0,7.0,6.0,6.0,6.0,1.0,9.0,8.0,15.0,,36.0,5.0,0.0,4.0,,,,,,1.0,02114
3003.0,2015.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,,9.0,10.0,,33.0,5.0,0.0,1.0,,,,,7.0,1.0,10011
3003.0,2015.0,8.0,7.0,8.0,8.0,8.0,3.0,8.0,8.0,2.0,7.0,7.0,0.0,,8.0,5.0,,31.0,4.0,0.0,4.0,,,,,5.0,1.0,14623
3003.0,2015.0,10.0,9.0,9.0,8.0,10.0,5.0,10.0,10.0,10.0,7.0,9.0,0.0,,10.0,26.0,,21.0,3.0,0.0,1.0,,,,,,2.0,06516
3003.0,2015.0,7.0,5.0,2.0,6.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,0.0,,,,,50.0,4.0,0.0,1.0,,,,,7.0,1.0,53017
3003.0,2015.0,8.0,7.0,7.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,0.0,,7.0,10.0,,64.0,3.0,0.0,1.0,,,,,6.0,1.0,97365
3003.0,2015.0,6.0,6.0,5.0,7.0,5.0,3.0,7.0,6.0,6.0,7.0,7.0,0.0,,10.0,5.0,,64.0,5.0,0.0,1.0,,,,,7.0,1.0,77095
3003.0,2015.0,8.0,5.0,7.0,8.0,8.0,4.0,8.0,8.0,5.0,8.0,8.0,0.0,,10.0,,,33.0,2.0,0.0,1.0,,,,,4.0,1.0,54235
3003.0,2015.0,6.0,5.0,4.0,8.0,7.0,7.0,7.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0,,26.0,31.0,3.0,0.0,1.0,,,,,7.0,1.0,95816
3003.0,2015.0,7.0,5.0,7.0,9.0,7.0,8.0,7.0,5.0,8.0,8.0,8.0,1.0,8.0,10.0,101.0,,34.0,4.0,0.0,1.0,,,,,6.0,1.0,12929
3003.0,2015.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,1.0,6.0,10.0,15.0,,47.0,3.0,0.0,1.0,,,,,7.0,1.0,
3003.0,2015.0,7.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,3.0,7.0,7.0,0.0,,8.0,,,32.0,5.0,0.0,1.0,,,,,7.0,1.0,85226
3003.0,2015.0,6.0,6.0,8.0,10.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,0.0,,7.0,26.0,,24.0,4.0,0.0,1.0,,,,,6.0,1.0,76201
3003.0,2015.0,9.0,9.0,6.0,7.0,8.0,4.0,8.0,8.0,10.0,8.0,7.0,0.0,,9.0,10.0,,34.0,4.0,0.0,1.0,3.0,,,,7.0,2.0,28463
3003.0,2015.0,7.0,5.0,6.0,7.0,7.0,3.0,6.0,6.0,5.0,7.0,7.0,1.0,5.0,8.0,5.0,,30.0,4.0,0.0,1.0,,,,,7.0,1.0,60657
3003.0,2015.0,5.0,5.0,5.0,8.0,4.0,3.0,7.0,5.0,5.0,4.0,4.0,0.0,,6.0,,,38.0,4.0,0.0,1.0,,,,,7.0,1.0,40291
3003.0,2015.0,9.0,5.0,6.0,8.0,7.0,2.0,8.0,9.0,2.0,9.0,9.0,0.0,,10.0,,,48.0,3.0,0.0,1.0,,,,,7.0,2.0,75082
3003.0,2015.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,0.0,,10.0,15.0,,24.0,5.0,0.0,2.0,,,,,1.0,2.0,14201
3003.0,2015.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,6.0,9.0,1.0,7.0,10.0,10.0,,35.0,5.0,0.0,1.0,,,,,5.0,2.0,84107
